,Clothing ID,Age,Title,Review Text,Rating,Recommended,Positive Feedback Count,Division Name,Department Name,Class Name
7597,868,57,Nice top but too long in back,"I'm 5'7"", 135 lbs, slender bone structure. the medium fit well in the front but hung to the back of knees in back...just way too long. it would work best on someone closer to 6' tall.",3,0,0,General,Tops,Knits
7598,868,42,Good and versatile white button down!,Much softer fabric than i expected. wrinkles easily.,5,1,0,General,Tops,Knits
7608,868,35,Very cute and girly!,"I'm wearing this top today at work and i feel very cute walking through the hallways. it's a little long in the back, because i'm short, but overall i enjoy wearing it. it's comfortable, casual, girly, and well made. i'm happy with it.",4,1,1,General,Tops,Knits
7611,868,34,Very versatile,"This top when pulled out of the box didn't look like much, the contrast of the buttons, wrinkly, shapeless... but, when i shook it out, tried it on i fell in love. it's so simple and versatile. prob the best white shirt i purchased this year, i'd say it pretty flowly, but that's the style and i love it. i am 5'8'' 128lbs and purchased a small. i would purchase again, and in other colors if they had them.",5,1,2,General,Tops,Knits
7614,868,34,I wanted to like this,"This shirt is adorable.
but...it didn't work for me!
i'm a smaller gal with a large chest (5'4"", 34g). i tried on the small, since it seemed so flowy and large. the sleeves were tight, yet the back of the shirt flowed way too much, making the shirt look huge on me. perhaps a more fitted back, and i would have been in love.
love the blue color!",2,0,0,General,Tops,Knits
7620,868,26,Purchase immediately,"I do not think i could express how much i love this top! it is so flattering and soft. i love that the bottom half is slightly sheer and a different fabric than the top. it is stretchy, which for me is a wonderful thing. i purchased the day it came in store. it is quickly prone to pilling though!! with the style of shirt it's not so bad, but kind of unfortunate for a top that is almost $100.",5,1,3,General,Tops,Knits
7632,868,28,Loooovvvvveee,This shirt is so comfortable and flattering. the quality is really good but i would definitely size down. it's not too heavy and can be worn with skinny jeans/jeggings..,5,1,0,General,Tops,Knits
7634,868,29,Soft blouse,"This is one of the softest blouses i now own. it feels and wears like a premium blouse. i love it, and it actually makes my backside look smaller too. even though it is flowy, it is true to size. if you have small arms and a chest than you could go down a size. this is one of my new favorite purchases, and i wear it with the cabled knit bomber and boots.",5,1,14,General,Tops,Knits
7640,868,52,Love the fabric and the hi-low style,"This is a subtle, classy shirt. i'm 5'7, 122 lbs and an xs fit perfectly. shirts like these, that don't fit snugly on my back cover my poor posture (genetic) and make me look like i am standing up straight. nice!",5,1,0,General,Tops,Knits
7808,868,53,Unflattering cut,Unfortunately this top looks billowy and boxy on my. i am tall and very slim and i look pregant in this one ;). maybe it works better on somebody more curvy.,3,0,0,General,Tops,Knits
8153,868,73,Great shirt that's a bit different,"Color (orange/red) and fabric nice and good quality
i ordered this since i live in astoria but am glad i did.",5,1,2,General,Tops,Knits
8177,868,34,So comfy!,This top is so soft i want to wear it every day. the orange is beautiful in person. great fall color. perfect amount of swing.,5,1,0,General,Tops,Knits
8180,868,54,Darling tee,"This tee shirt is just adorable. i found it at a local retailer and decided to try it on - and just loved it! i happened to walk out of my dressing room while wearing it, to talk to my daughter who was shopping with me and three customers in the hall said"" that is so cute!"" and went to find their own. i bought the ivory color, but the other colors are really nice as well.

the fabric is substantial, soft and thick. the little ruffle at the shoulder makes a cute statement, but is just fun and not",5,1,2,General,Tops,Knits
8211,868,49,Cute and fits well but a littel see through,"I got this top in white and really like it. its soft, comfortable fits well but it is a little see through.",5,1,0,General,Tops,Knits
8224,868,36,Perfect if there was a bit less fabric,The material is soft and comfortable and the top of the shirt fits well.  when it comes to the bottom part of the shirt there's a lot of extra fabric which makes it balloon out. it made me look much bigger than i am.  i ordered a large (normally i wear lg or xl) and it's possible a medium would have fit better. unfortunately this shirt had to be returned.,3,0,0,General,Tops,Knits
8286,868,70,Runs extremely large,Huge with bountiful amounts of extra fullness....not like represented picture. and it snags very easily. i have a 4 mo. old puppy that jumped up on me as i was trying it on and snagged it in several places. 'i'm going to see about returning it with the snags.,1,0,2,General,Tops,Knits
8308,868,19,Super cute top,"I really love the style of this top. it's a great lightweight, breathable top perfect for summer. it is slightly sheer so i have to wear a cami underneath. it is definitely a flowy top, but flattering. i'm 5'0 115lbs and ordered the xxs. a petite size would've been better as it is long on me (it covers my butt in the back), but it looks good with a longer short or pants.",4,1,3,General,Tops,Knits
8313,868,39,"Poor quality, unflattering fit","This is one of the lowest quality shirts i have ever received from retailer. i was so excited for the shirt, it looked so pretty and soft in the pictures. the flax is very scratchy, marring the softness of the rest of the fabric. the top half is totally sheer, requiring a cami. the shirt is cut in such a way that it flares out from the rib cafe in an unstructured way, unnecessarily adding visual pounds. finally, the sewing is done very poorly and the the side tag is literally three inches long--wh",2,0,1,General,Tops,Knits
8322,868,71,Overall great shirt,"Overall this is a great shirt. the material is soft and a little sheer, but not sheer enough to have to wear something underneath. the only negative is that the v sits a little high so i felt like i was constantly pulling the shirt down through out the day.",4,1,0,General,Tops,Knits
8812,868,26,,Bought in white. it has a ribbed detail that makes ir only for casual wear.  the white is pretty sheer. will return.,3,0,0,General Petite,Tops,Knits
9228,868,39,Didn't work for me,"Cute. i love the button back detail. but it's completely see-through. i could have worked with that by putting a cami underneath, but the arm holes were too tight. didn't look bad, just felt uncomfortable. you can't really tell in the pic, but there's elastic on the arm holes. it'll work if you have super skinny arms, but apparently i don't.",3,1,2,General,Tops,Knits
9241,868,77,Very see thru,I ordered the shirt bc it looked soo cute despite the fact many said this shirt was see thru. it's true.. had to return it,1,0,2,General,Tops,Knits
9268,868,45,Flattering knitwear,I bought this top in my usual xs size in black and it fit just right. it's very flattering and i love the strip of buttons down the back and the tucks at the shoulders. two things that i did not (could not!) notice by looking online is that this top is actually knitwear! it's still very lightweight and it has a fabric strip that runs along the back strip of buttons. the second thing is that it's a bit transparent. i would definitely prefer to wear a camisole underneath if i'm wearing this top to,4,1,11,General,Tops,Knits
9271,868,75,Almost the perfect shirt!,"I fell in love instantly...but...upon looking in the mirror, it is 100 percent see through. at least the black is... i love it enough that i am going to try to put a cami underneath. however, that mayn't work. the shirt is lovely in and of itself, but at 48, i don't need a see through shirt. it is also defiantly about a size larger that expected. so size down. almost so good!",3,0,7,General,Tops,Knits
9334,868,55,"Super cute--casual top, waffle texture","This shirt is perfect! bought charcoal and ivory. compliments galore, super cute with jeans, workout pants. love it!",5,1,0,General Petite,Tops,Knits
9338,868,38,Disappointing,Purchased this in two colors online. purchased in an xs - i am usually a s or xs. the fit was really large in the xs and the seam on the front of the top was in the wrong place and was really unflattering. returning both.,2,0,1,General Petite,Tops,Knits
9340,868,36,,Perfect fall top! extra long sleeves perfect for keeping the chill off.,5,1,0,General Petite,Tops,Knits
9347,868,61,,"Really cute top, the material is soft and feels like great quality. love the loose cut and slight detail to the simple shirt.",5,1,0,General Petite,Tops,Knits
9349,868,32,Light and cute,"The perfect flowy fall top! the material is thin so it may pick a little, but i love it.",4,1,4,General Petite,Tops,Knits
9350,868,63,Super cute and comfy,"I love this shirt so much!!! i ordered the gray a day after i received the sage color. this shirt is soft, true to size, comfortable and extremely flattering. it is one of my new favorite go-to shirts. retailer - great job at finding a stylish, casual top that can take me through all the seasons.",5,1,0,General Petite,Tops,Knits
9351,868,41,Huge,"I want to like this top because the idea is cute but i ordered the small and it might have well been xxxl.  with sizing like this, one size fits all could just about do it.",2,0,0,General Petite,Tops,Knits
9360,868,46,Great shirt,"This is a great shirt, fits perfect and super comfortable but you feel stylish and pretty",5,1,0,General Petite,Tops,Knits
9362,868,35,Comfy top with cute design!,Such a great top! the sage color is beautiful. love the simplicity of the top. slender sleeves and just enough flow to the top. this will be a great top to pair with a cute scarf!,4,1,1,General Petite,Tops,Knits
9380,868,31,Comfy flowy top for fall and winter,Nice quality material. the green is pretty color. just a good cozy top. i normally wear a large in retailer clothes and the large in this world was very roomy (which was fine with me). if you are short and have smaller shoulders and bust definitely go for a size smaller than you would normally wear.,4,1,3,General,Tops,Knits
9392,868,66,Is this top for 2 people?,While i love the green color and the soft waffle knit of this top it was so wide i could have fit two of me standing side by side into it!  i mean it was truly laughable!  don't know what the manufacturer was thinking but this one needs to go back to the drawing board.,3,0,0,General,Tops,Knits
9394,868,39,Love it,Love this top! it's light weight and very comfortable! it's great for wearing around the house or going out for a casual dinner. would love to get it in more colors!,5,1,0,General,Tops,Knits
9401,868,59,,I am not a bright clothing person but adore this top. if this is the right red for you i highly recommend.! it is a beautiful bright red no orange tones so really works with my skin tones. it is a very comfy shirt and although it is a stretchy fabric it did not show any lumps or bumps in the upper back. has a beautiful flow to it and looks not only great with jeans but really cute with a patterned sweater pencil skirt i bought at retailer a couple years ago and always with a good old black pencil,5,1,5,General,Tops,Knits
9403,868,28,Nice but sleeves and body have volume,"Color is pretty true to pic, a bright blue red.  sleeves have more volume than pic.  so does the body.  in my opinion.  maybe if i looked like the model.  i wear a 27 in jeans and it doesn't look so cute on me.  also i'm a brunette.  angles?  pinning?  i have to wonder.  probably just pics at good angles.  it looks really cute on the model though.",3,1,0,General,Tops,Knits
9428,868,33,Pretty top,"Cute top, not great on me. beautiful, bright color.",3,0,2,General,Tops,Knits
9432,868,26,Very short!,"This top is very beautiful and the color is a dream, but wow is it short! i'm 5'8"" and it barely hit the top of the waistband on my jeans. the fabric is oddly heavy and not light and airy like i expected. it seemed like an odd choice for a blouse. 

because of the seaming and gathered fabric at the top of this shirt, i wouldn't recommend this to women who are busty/curvy on top. it made my chest look huge! this styling may work for petite ladies, but tall & curvy ladies beware.",2,0,0,General,Tops,Knits
9607,868,44,Loved this,"Pic doesn't do it justice, very flattering. i got it in navy. definitely worth the sale price!",4,1,0,General,Tops,Knits
9612,868,54,Nice top,I received this in the mail today and i liked it from the minute i tried it on and looked in the mirror. it is a unique piece to compliment black pants or jeans. i hope to be able to wear it with leggings if it covers my bum so i will have to try it on with leggings to see. the fabric is nice and it fits well and compliments my figure. it is longer as it appears on the model. i do recommend you give it a try especially at the sale price!,5,1,0,General,Tops,Knits
9614,868,47,Didn't work on me at all,"I had high hopes with the other positive reviews, but it didn't work on me. nice stretchy fabric and nice length but it was bunchy in the front and didn't lay well, and didn't do my bust any favors. maybe better on those less pear shaped. hopeless on me.",2,0,1,General,Tops,Knits
9615,868,27,"Cute, but runs large","I ordered my normal size and found that this top runs large. i wanted to tie the front ties tighter to accentuate my waist, but even so it was still quite loose. the fabric is very stretchy and thin, and the top was longer on me than pictured in the model. for reference, i am 5'-7"" 155lbs, usually wear a medium/8 in a top. this medium was too large.",3,1,0,General,Tops,Knits
9617,868,59,Cute top,"I like the top; like the tie in the front. the material is stretchy. would imagine this will work for any size of chest. i wear either a small or medium, so thought i'd be safe order the medium, which turned out to fix more like a large. i'm taking it back for the small.....as it's a keeper.",5,1,12,General,Tops,Knits
9618,868,36,Beautiful tunic,"I am currently loving anything that crosses or ties around the stomach area to hide what's left from my most recent pregnancy. this tunic fits the bill. the material has the perfect amount of stretch and the length was just right. i am very petite and bought my usual size xs. i would have liked to try this tunic in a petite size, but then it  may have been too short. i plan on wearing this to work with leggings and for running errands once the weather warms up.",5,1,8,General,Tops,Knits
9629,868,59,Looks great on me!,"I read the other reviews before i ordered this top and was a little concerned about the fabric, but it's fine. the neutral color is a little bland, but i can wear it with bright pants. since i expected it to run large i ordered a small. the tie in the front makes it fit like a dream, plus it looks amazing from the back.",5,1,0,General,Tops,Knits
9630,868,29,"Perfect, elegant & complimentary","Love this shirt. i am actually pregnant and this shirt ties right over my baby bump to make for a very flattering pregnancy shirt. i will definitely be wearing it post pregnancy as well since the tie is an actual tie and you can tie it however tight you want for a more fitted or loose look. i am 5'4 125 lbs (not pregnant) and got a size small. and it fits perfectly. covers problems areas of butt and upper thighs, yet accentuates the waist. and thinner area of legs. very soft fabric, a bit stretc",5,1,0,General,Tops,Knits
9632,868,37,Flattering tunic for any occasion,"Love this top. it's very comfortable,  and flatters  my midsection. versatile piece.",5,1,0,General,Tops,Knits
9639,868,60,Lovely top for different body type than mine,"Lovely, comfortable top.  not flattering on my full figure but would be flattering on most--especially younger women who want to emphasize their curves~~",4,1,1,General,Tops,Knits
9640,868,34,An ode to us hourglass girls!,"This was such a great top! see thoughts below!

___________
pros:
- fits tts. for reference, i'm 5'9, 36c, hourglass. i'm normally a m or l (10 or 12) depending on the fit and found the medium to fit well and not be too tight at all. i could have probably sized down for a snugger fit, but i like the looseness. fit very well across the chest and arms.
- the sleeves are surprisingly flattering. i've dealt with other tops where the sleeves flutter too much and adds too much weight and attentio",5,1,19,General,Tops,Knits
9643,868,37,Maybe in another fabric??,"This one will be going back. the color is really blah and the fabric wasn't a texture i was expecting--it is kind of thick and ribbed and i suspect it would stretch out over the course of the day. overall, the cut and style is cute, but i just felt like i was wearing a hospital gown with the combination of the fabric and the style. this may have been cute in a more vibrant color and lighter weight fabric.",2,0,0,General,Tops,Knits
9899,868,40,Very boxy,"This top had potential, but the cut is very boxy and not fitted at all like the front picture shows. the picture from the back is much more representative of what it looks like. i'm 5'7"", 135lbs and normally wear either an xs or s and the xs in this was still huge and boxy, but very short with tight sleeves (i have small arms so hardly ever have an issue with tight sleeves). the small fit better as far as length and and sleeves, but still very boxy. the pattern and cutouts are very cute, but thi",3,0,9,General Petite,Tops,Knits
10795,868,39,"Soft, rich blue","I ordered the xxs because it seems like a flowy top, and glad i did, it fits perfectly. love the blue color, very rich. material is super soft, cut is very flattering, and i love the back. i tried it on with my strapless since that is what i was wearing, but not sure if straps show on a regular bra. (30dd for info)",5,1,0,General,Tops,Knits
10803,868,56,Comfortable and flattering,"This unique blouse is very comfortable and looks beautiful on the body. it flowy and flattering and looks great with my tan. dress up or down, it's a staple in my summer wardrobe.",5,1,0,General,Tops,Knits
11063,868,52,Warm and comfortable,"I love wearing my boatneck pullover. the unique part of this item is the back with buttons. the shirts appears to be inside out, however, its not. its soft, comfortable, stylish and warm. i really like how it's longer in the back.",5,1,0,General Petite,Tops,Knits
11295,868,64,Not worth the money,"I love the idea of this top and ordered it in white. it is a great design and proportion is nice with jeans. the front is off white t shirt material with a pocket and the back is a light grey heathered panel. i am returning it as it is very thin and the quality is cheap looking. if the grade of material had been a bit thicker and better made, then it would have been a winner!",1,0,9,General,Tops,Knits
11421,868,35,,"I should have listened to the reviews that said this top was too boxy, but i didn't believe them and bought it anyway. i was wrong! this top is so boxy and wide, just awful.",1,0,3,General Petite,Tops,Knits
11426,868,65,Cute top but poor quality,"Super cute basic top but after washing it once according to tag instructions, it is pilling like a well-worn sweater would.",4,1,0,General Petite,Tops,Knits
11433,868,55,Lovely summer blouse,"This is a really well made, great looking blouse. the details are charming. i like that it is a good weight, not too sheer. the 3/4 sleeves are perfect. i ordered a medium and it is a good fit overall. so glad i put it in my shopping cart to try. it's a keeper!",5,1,5,General Petite,Tops,Knits
11434,868,52,Cute and striped,I really like the style and cute stripes and i love the versatility of the design of this shirt. fits true to size and hides my stomach just in the right places,5,1,0,General Petite,Tops,Knits
11435,868,24,Romantic ruffled tee,This ruffle tee is adorable on. the fabric is light but not thin and the styling is very flattering to any figure. i look forward to wearing it as a transition piece as it stays warm long into fall in the south.,5,1,1,General Petite,Tops,Knits
11437,868,46,Love this tee!,"I think when this is new, it runs big, and then shrinks to the right size. that's what it did for me anyway. it did shrink after one wash, but not significantly. i bought it in m and feel it stayed within that range. super cute with shorts - airy, light. love the white. ordering another color!",5,1,8,General Petite,Tops,Knits
11438,868,46,Well-made but widening,"I ordered one of each color in size xl. the fit is true to size. it matches the model's photos. there's a lot of material so it's flowy. but, it shrunk with air-drying. the colors are very pretty in person. the white is bright. i decided to keep mine even though they're truthfully, unflattering to wear. the way the sleeves are slightly gathered and cut, make my shoulders & arms look huge. i don't have the shape to pull this off. but, for wearing at home in the summer, they're worth having. the m",3,0,34,General,Tops,Knits
11439,868,29,Short and wide,"I tried on this shirt in the small and the xxs - both were ridiculously wide. they were also both cut really short - the peplum basically started right below my boobs, though the small was maybe a little bit longer than the eex. the stripes are really cute, the cut is just very strange. 

for reference, the black and white is the small, the taupe is the xxs.",3,0,3,General,Tops,Knits
11440,868,29,,"Bought this shirt because i loved the cut and the stripes. had little to no shape to it. some may think it runs big but it appears that is the look this top is going for. i feel like being short, i just looked kind of dumpy on me. fabric is nice but borders on see through. it was just ok....nothing exciting.",3,0,4,General,Tops,Knits
11444,868,41,I love it!,I am very self conscience of my tummy and this covers it up without being too baggy! there is plenty of room. i originally bought a small then went to an extra small then went back to a small. i wear a small in most things. great nicer looking tee!,4,1,2,General,Tops,Knits
11445,868,29,Flowy spring top,"This is a vary cute blouse. i ordered both colors in my typical medium, intending to give one to my sister. i couldn't decide what color to keep but went with the black simply because it fit my style better. looks great with dark jeans. the tan stripe is very cute, a little more summery and looked better on the sis than me.",4,1,3,General,Tops,Knits
11446,868,48,Loved it so much i bought both colors!,"Cute swing tee! fit for me is perfect. i am 5'5"" and 140 lbs and i bought my usual small. length is nice. fits me just at my hips. i can wear to work and on the weekends. a little concerned  the fabric may pill so i'm taking extra care. receive compliments every time i wear either color. love.",5,1,1,General,Tops,Knits
11448,868,36,,This shirt runs large. i ordered it before it was sold in stores so i didn't return it. the style is really cute. the shirt does pill.,3,1,0,General,Tops,Knits
11449,868,43,Love it!,"This top is so comfortable and better quality than i expected. ruffles fall nicely over your sholulder and there is a fabric underarm, i don't have to wear a tank top underneath like i normally would with tops with wide opening around arms. color is beautiful too, i really love it. true to size.",5,1,0,General,Tops,Knits
11450,868,31,Classic and cute,I am always searching for effortless items. this is a cute and classic shirt that meets all those requirements. i actually really like the sleeves. it take a basic tee and elevates the style. i bought the teal but am also thinking about ordering the white too. can't go wrong with a classic white tee.,4,1,13,General,Tops,Knits
11453,868,46,Cute and comfortable,"I bought the green and white and waiting to see how these wash based on previous reviews. they are definitely not figure flattering and make you a bit boxy. you could belt it, but i won't i'll just wear for errands and lounging, better than my sports tees! i bought mediums because if it shrinks a tad, the small might be too short in the arms and i wanted a bit more arm coverage.",4,1,3,General,Tops,Knits
11454,868,71,Adorable,"I thought this top would make me look extremely boxy, but i couldn't resist the stripes and the cut of the top. i did size down, and so glad i did! adorable .... fun and flattering! and that's coming from a curvy girl, with a ddd bust. soo soft!!!!",5,1,16,General,Tops,Knits
11458,868,42,Perfect striped top,I love the loose vibe of this top. the bold stripes are super cute. i can dress this up or wear with jeans and sneakers. get this top ladies!,5,1,4,General,Tops,Knits
11459,868,60,Perfect lady tee!,"This top takes every other tee and blows it out of the water! it appears subtle on the hanger, but it looks so lady like on! the flutter sleeve are darling. the top does have a lot of volume, but the drape is so lovely, it adds some shape. it is perfect to wear everyday and dress up! i bought to wear with the bryden skirt. for reference, i purchased ordered the xs (though i am wearing a s in the photo) and i am 34c, 26"" waist. the shoulder fit okay with easter size, but there was a little less v",5,1,3,General,Tops,Knits
11460,868,50,Love it...,"I just bought this top in size medium and i love it. super comfortable and flowy. if you want to dry it in the machine, just put cold air and it won't shrink. don't use hot air...",5,1,10,General,Tops,Knits
11464,868,34,Lovely!,"This.
an unexpected purchase...i found this on my way to the dressing room.
the fit is stunning. i sized way down (i.e. normally wear 10/12, curvy, and bought a small).
it accentuates my curves, and is incredibly flattering. i bought the navy, and will be adding another color soon!
the material is viscose blend - soft and flowy. it's a nice addition to my work wardrobe.",5,1,1,General,Tops,Knits
11475,868,33,Just ok,"I ordered this in tan and white, but ended up returning it. the material is a bit thin (but soft). the shape of the top was decent, i didn't think it was too boxy but i didn't like how the seams looked on the sides. ultimately i didn't think it was worth the price.",3,0,1,General,Tops,Knits
11478,868,29,,Nice stretchy shirt. nothing special so i wouldn't pay more than sale price.,4,1,1,General,Tops,Knits
11481,868,35,,"I love the look and the simplicity of this top! it's very casual, but also super cute. my only issue with it was the fabric started to ball up after a few wears. but i still love it!",4,1,0,General,Tops,Knits
11482,868,55,"Love the sleeves, but it runs quite large","I ordered this on-line. i love the sleeves and the pleat in the back, but the top runs large. i ordered a small, but it is too big. other reviews say that the top shrinks when you wash it. however, i'm not sure if the store would let me return a washed item if it doesn't shrink enough for my taste. i think i will probably be returning this top.",4,1,1,General,Tops,Knits
11484,868,60,Fantastic top,Purchased this top in the store on sale. love the material. very soft and comfortable. love the black and white combination. i am petite so the top is a great length on me. i can see that if you are tall it might be to short.,5,1,0,General,Tops,Knits
11487,868,34,Nice shirt but runs wide,"I chose to ignore the other reviews saying this shirt was too wide thinking that my wider shoulders would fill it out, but that's not the case. the shirt is adorable and soft and cute on, but just too wide around the armpit/chest area and with the horizontal stripes it just didn't look attractive. i would love to try the next size down to see if it works, but the black and white xxs is sold out so back it went. i am only 5'4"" with a shorter torso so the length was fine for me.",4,1,0,General,Tops,Knits
11490,868,60,Meh,"This is just okay for me. the top is soft and surprisingly flattering, especially from the side, but the front rides up and the neckline never lays flat. it washes well and the tan/white combo is cute, but a little transparent.",3,0,0,General,Tops,Knits
11491,868,36,Lovely top with one flaw,"The quality of this top is wonderful. thick enough to prevent see-through, but thin enough to create a beautiful drape. the fringe details are lovely. the top is slightly roomy (ranks between ""true to size"" and ""runs large,"" i.e., leaves room in the back when i clasp my hands together and stretch them out in front of me), but not really enough to size up. i'm 5'-4"", 120 lbs., athletic build, and the small fits well. my only issue with the aesthetic is that the pattern of the lace on the upper pa",4,1,0,General,Tops,Knits
11492,868,40,Cute casual top,"This is definitely a cute top! i am 5'1"" 34a, and bought the extra small. it fits well, very flowy. a little shorter than i like, but it still looks cute. it's thin, but soft and comfortable. i wore it just like the model, with my long jeans and some wedge sandals and it looks great for a spring day!",4,1,2,General,Tops,Knits
11494,868,55,Fun and feminine,"I got this shirt because of the flutter sleeves, and i'm not disappointed. it is a classic t, with that little bit of an edge due to the sleeves. it is not fitted, which is what i was looking for. it also covers my bum, which i don't always like hanging out there. in all, it's perfect for my needs. i got the turquoise one and i may get the white one too!",5,1,4,General,Tops,Knits
11496,868,48,"Pretty, if you have an alterations whiz","Gorgeous sleeves, flattering neckline...and a voluminous torso. i loved the fit of the top portion so much, i decided to buy it, knowing it would require alteration. the seamstress removed a *significant* amount of bulk and added vintage buttons to clasp the inverted pleat. i find many of these ""easy breezy"" tops create a shapeless look. extra volume in both the front and back creates a needlessly rotund profile. despite excellent posture, i looked both hunched and pregnant in the unaltered silh",3,0,0,General,Tops,Knits
11648,868,35,Comfortable casual tank,"I ordered this in blue, and loved the color. i'm not typically into the flowing top style, but i tried a few items on my last order, this being one. it's unseamed at the bottom, which was my primary reason for returning it - i couldn't see that in the photo online - but if that is your style, this item is good quality, soft, comfortable material, and a great spring or fall blue.",3,1,1,General,Tops,Knits
11656,868,31,,This top is a little big but i sized down and liked it a lot. can be casual or can dress it up with a statement necklace. perfect fall shirt,4,1,1,General,Tops,Knits
11659,868,69,Pretty color,"I like to wear swing tops because they are comfortable, not confining. this is definitely true for this top- i have an xs and it is quite spacious and boxy shaped. this is a simple cotton shirt but the ruffle adds a nice detail, and without being too much ruffle either. great to throw on with jeans!",4,1,0,General,Tops,Knits
11669,868,35,Best shirt ever- should have bought more colors,I wish i could buy this is more colors! so easy to dress up or dress down,5,1,1,General,Tops,Knits
11756,868,39,"Unique top, too much material on bottom","I thought this was a pretty and unique top. the material looks and feels like a basic t-shirt made into a striking fitted top. this isn't apparent in the online pictures: the side seams are slitted open nearly up to the waist, so it is a bit revealing. my only problem with this shirt was that the bottom part flared out too much away from my body, and there is a lot of material there, so i wasn't sure if i could get it tailored to look good on me.",4,1,0,General,Tops,Knits
11764,868,27,The peplum hit me very high on my torso,"The peplum for this time hit me in the middle of my rib cage, not at my natural waist, so it looked very odd when it flared out with the peplum so high up. i am busty so it's possible this would not be the case for everyone but i generally can wear peplum tops with no problem. i was disappointed to return it, the fabric was very nice and the concept behind the shirt was a good one.",2,0,14,General,Tops,Knits
11783,868,45,Peplum hits very high,"I'm 5'5"" and i think fairly proportioned (120 lbs, 34b) and the peplum hit well above my waist. since having kids i'm a little obsessive about avoiding any shirt that could double as maternity... and this struck me as one. it's a cute too, but once it's on i don't feel it's very flattering.",3,0,0,General,Tops,Knits
11807,868,44,,"While i agree with the previous review that the peplum hits a bit high, i like this top. it has other features that i really like. the dip in the back of the peplum is great and i love the longer sleeves. i have it in both the black and the mauve and they are becoming quick staples in my wardrobe. i have a fuller figure and feel good in this top.",4,1,2,General,Tops,Knits
11813,868,38,Lovely top; peplum hit weird on me,"I wanted to love this blouse, but the peplum came too high up on my waist. i have a short torso and i'm busty, so the placement of the peplum just didn't work for me. it is a very pretty color and fit fine in my normal size, but the peplum just didn't work on my short torso. i think this would be a very pretty blouse for people with a different body type than mine.",5,1,0,General,Tops,Knits
11880,868,57,Well made; but huge,"The fabric is a nice weight knit and the top generally well made. unfortunately, the fit was enormous. i've an athletic build w/ big boobs & normally wear l in retailer tops.",2,0,1,General,Tops,Knits
11883,868,59,Loose fit beautiful color and style,This is a beautiful color and nice heavier fabric. love the style. armholes not too big. the body is loose fitting at torso but chest area is fitted at 36 c size small . i love this top with skinny jeans or pencil skirt as shown on model. top looks just like it does on model as far as fit.,5,1,9,General,Tops,Knits
11930,868,20,Just dreamy,Purchased in a small. usually a 4-6-8. i layered over a sleeveless dress and i felt amazing. great for those tighter dresses. the fabric is sheer but not super see through. the tassle in the back is so creative. it closes enough in the back to not look weird. i have so many plans for this piece. black is the perfect color too. the collar colors are perfect too.,5,1,1,General Petite,Tops,Knits
11936,868,25,So beautiful!,"This is top makes me feel happy and pretty! with a saturday/sunday black tank or any cami, you will love yourself in it! tts and matches most any skirt! good price too! can wear with skirts or pants.",5,1,1,General Petite,Tops,Knits
12123,868,32,Gorgeous white summer tank,"I got this in white and was surprised to see that it fits me. i am very petite but with a 32d bust and purchased the xxs. this fit me perfectly! the fabric is soft and kind of silky, the straps were not too long, the hem hit just at my hip line. i am buying the other color!",5,1,0,General,Tops,Knits
12125,868,28,Sent straight back,"I ordered this top online during the mother's day sale, thinking i had found the perfect white staple tank i wanted for summer. i had this top on for barely five seconds before i knew it was going straight back. the quality of the fabric and the overall design are both very good. but the problem is that the top comes with an under-layer up top. this is normally a good thing; extra coverage in a sumer top generally means you ca go braless. the problem is that the top layer of the shirt is so shee",1,0,2,General,Tops,Knits
12127,868,50,"Just ok, very voluminous","Purchased this should in the blue motif in size small. i am usually between a small and medium in shirts, 36c broad shoulders. the fit was fine in the small. however, i had a few issues with the top: 1) the blue motif looked actually like a faded blue (as if it had been washed quite a few times and looked worn), 2) the front mid/bottom section laid strangely and gave me a maternity look, and 3) the back has alot of fabric (see back of tank in white motif) and was very voluminous. for me, it wasn",3,0,6,General,Tops,Knits
12133,868,36,So comfortable and airy,"I was hesitant to buy this top after reading previous reviews, but i love it! granted, i am two months postpartum so i am looking for tops that are airy (it's summer in socal) but cover up my tummy. the material is soft and stretchy and it does have a loose shelf bra type inset---so not a real bra but at least something there. i wore a free people bralette with it and it looked perfect! really happy with this top!",5,1,0,General,Tops,Knits
12256,868,35,An immediate return,"The fit on this shirt is bizarre--it very much resembles a nursing top (but wouldn't actually work for that purpose). the side visible in the picture is nicely draped, but the other side can flap open and is completely different. i tried two different sizes and both were equally unfortunate!",1,0,5,General,Tops,Knits
12289,868,39,Too wide,This would have been cute if it was more fitted. i am 5'7 and 125 lbs and the small was too wide. i didn't try the xs because the small was almost too short in the sleeves and so was the length.,2,0,2,General,Tops,Knits
12325,868,34,Depends on body type,"I think this shirt would be really cute on the right body type, just not mine. i'm 5'5, 125 and a 34ddd a couple weeks post partum. thought this could be a good shirt while i'm nursing bc it's flowy but stylish. unfortunately it did nothing for me when i put it on. the cut drew all attention to my big chest---not in a good way--and distracted from my smaller lower half. made me look much bigger and heavier than i actually am. probably good for small chested girls, very tall girls or curvy on the",2,0,7,General,Tops,Knits
